StartTime: 2020-09-24 17:40:40.285
address	Time(s)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 17:41:00.323	195.3125	-469.5435	-185.2417	-7.2675	-11.3379	62.2760	0.00
0x50	 17:41:00.334	242.9199	-660.0342	-261.0474	-5.0153	-16.0016	60.8588	0.00
0x50	 17:41:00.343	242.9199	-660.0342	-261.0474	-1.8073	-22.5000	58.4418	0.00
0x50	 17:41:00.353	234.8633	-763.5498	-249.8169	1.8677	-28.8171	55.4700	0.00
0x50	 17:41:00.364	234.8633	-763.5498	-249.8169	6.0425	-36.0736	51.9269	0.00
0x50	 17:41:00.373	258.9111	-729.3701	-151.1230	11.2500	-43.0225	47.3071	0.00
0x50	 17:41:00.383	258.9111	-729.3701	-151.1230	17.3584	-49.8615	42.5006	0.00
0x50	 17:41:00.393	135.1318	-467.0410	-365.9668	25.4279	-56.2061	35.6726	0.00
0x50	 17:41:00.403	135.1318	-467.0410	-365.9668	35.7330	-58.4747	25.1532	0.00
0x50	 17:41:00.413	101.3794	-72.0215	-198.5474	47.1313	-59.6228	13.5461	0.00
0x50	 17:41:00.423	101.3794	-72.0215	-198.5474	51.5533	-58.3978	9.7394	0.00
0x50	 17:41:00.472	304.8096	226.3184	-19.5313	55.6403	-57.0410	6.2567	0.00
0x50	 17:41:00.472	304.8096	226.3184	-19.5313	56.4587	-55.3381	9.1901	0.00
0x50	 17:41:00.472	275.0854	381.5918	106.8115	57.3981	-53.6792	12.0135	0.00
0x50	 17:41:00.472	275.0854	381.5918	106.8115	55.7886	-52.2675	17.8967	0.00
0x50	 17:41:00.472	-166.0767	304.5044	143.3716	54.4812	-50.7788	23.5162	0.00
0x50	 17:41:00.482	-166.0767	304.5044	143.3716	49.3231	-50.1361	28.2568	0.00
0x50	 17:41:00.493	-413.2690	466.3696	199.5239	44.3738	-49.2297	32.7942	0.00
0x50	 17:41:00.502	-413.2690	466.3696	199.5239	35.3595	-47.1039	39.3970	0.00
0x50	 17:41:00.512	-503.8452	358.2153	192.8101	27.1747	-44.3518	45.1318	0.00
0x50	 17:41:00.521	-503.8452	358.2153	192.8101	18.7976	-41.7920	49.8395	0.00
0x50	 17:41:00.531	-480.2246	14.8315	147.3389	11.0962	-38.7927	53.7836	0.00
0x50	 17:41:00.541	-480.2246	14.8315	147.3389	4.7296	-38.7653	56.1182	0.00
0x50	 17:41:00.551	-560.5469	-238.4033	224.6704	-1.5765	-38.5400	58.3813	0.00
0x50	 17:41:00.561	-560.5469	-238.4033	224.6704	-9.5087	-40.6274	61.9135	0.00
0x50	 17:41:00.572	-469.7876	-76.6602	338.3179	-17.7814	-42.3083	65.8575	0.00
0x50	 17:41:00.581	-469.7876	-76.6602	338.3179	-25.7739	-41.6931	70.7300	0.00
0x50	 17:41:00.591	-163.3301	211.3647	250.5493	-33.5138	-40.6055	75.3278	0.00
0x50	 17:41:00.602	-163.3301	211.3647	250.5493	-35.8319	-37.3810	76.4484	0.00
0x50	 17:41:00.611	48.1567	58.8379	125.3052	-37.9742	-34.1455	77.3492	0.00
0x50	 17:41:00.621	48.1567	58.8379	125.3052	-37.9633	-32.8711	78.1842	0.00
0x50	 17:41:00.663	86.7310	-114.6851	-60.3027	-37.9303	-31.6077	78.9972	0.00
0x50	 17:41:00.663	86.7310	-114.6851	-60.3027	-37.2327	-32.9260	79.2993	0.00
0x50	 17:41:00.663	176.0864	-62.6221	-181.2744	-36.5405	-34.2334	79.5850	0.00
0x50	 17:41:00.663	176.0864	-62.6221	-181.2744	-34.0027	-35.7715	78.2227	0.00
0x50	 17:41:00.671	226.9287	2.8076	-102.2339	-31.3879	-37.2437	76.7670	0.00
0x50	 17:41:00.681	226.9287	2.8076	-102.2339	-28.5260	-37.6392	75.7068	0.00
0x50	 17:41:00.690	85.9985	-33.5693	-18.6768	-25.6586	-37.9852	74.6301	0.00
0x50	 17:41:00.701	85.9985	-33.5693	-18.6768	-24.8840	-38.3258	74.6741	0.00
0x50	 17:41:00.711	-1.0376	-83.4961	-39.9170	-24.1095	-38.6664	74.7180	0.00
0x50	 17:41:00.720	-1.0376	-83.4961	-39.9170	-24.1040	-39.5947	74.6631	0.00
0x50	 17:41:00.730	109.9854	-15.4419	-71.5332	-24.0985	-40.5121	74.6082	0.00
0x50	 17:41:00.740	109.9854	-15.4419	-71.5332	-22.5385	-40.8911	73.8391	0.00
0x50	 17:41:00.750	160.0342	-5.7373	-70.0684	-20.9674	-41.2537	73.0591	0.00
0x50	 17:41:00.778	160.0342	-5.7373	-70.0684	-18.8910	-41.5118	72.2571	0.00
0x50	 17:41:00.779	258.6060	-55.5420	-147.8271	-16.8146	-41.7480	71.4496	0.00
0x50	 17:41:00.787	258.6060	-55.5420	-147.8271	-13.2605	-42.6489	69.8785	0.00
0x50	 17:41:00.790	397.5220	-42.6636	-235.8398	-9.6460	-43.4729	68.2306	0.00
0x50	 17:41:00.800	397.5220	-42.6636	-235.8398	-3.7518	-44.1925	65.2808	0.00
0x50	 17:41:00.813	350.4028	-11.9629	-261.7188	2.2137	-44.6869	62.2430	0.00
0x50	 17:41:00.820	350.4028	-11.9629	-261.7188	8.0310	-44.6265	58.7714	0.00
0x50	 17:41:00.871	266.0522	54.2603	-231.9336	13.7769	-44.3188	55.3711	0.00
0x50	 17:41:00.871	266.0522	54.2603	-231.9336	18.1110	-43.2147	52.7399	0.00
0x50	 17:41:00.871	321.4722	-43.7622	-242.6758	22.2693	-41.9788	50.3009	0.00
0x50	 17:41:00.871	321.4722	-43.7622	-242.6758	27.3450	-41.4020	47.2906	0.00
0x50	 17:41:00.871	378.4790	-132.3242	-203.5522	32.2888	-40.6329	44.4177	0.00
0x50	 17:41:00.880	378.4790	-132.3242	-203.5522	38.6279	-40.3638	40.9515	0.00
0x50	 17:41:00.890	168.8843	-83.5571	-79.2847	44.8682	-39.8035	37.5732	0.00
0x50	 17:41:00.899	168.8843	-83.5571	-79.2847	47.9663	-39.7321	35.8429	0.00
0x50	 17:41:00.910	-16.4795	31.7383	-78.7354	51.0425	-39.5892	34.1235	0.00
0x50	 17:41:00.919	-16.4795	31.7383	-78.7354	51.1963	-38.8806	33.6951	0.00
0x50	 17:41:00.929	-4.5776	37.2314	-134.2773	51.3446	-38.1665	33.2831	0.00
0x50	 17:41:00.939	-4.5776	37.2314	-134.2773	51.6522	-36.8866	32.6294	0.00
0x50	 17:41:00.949	90.3320	-54.0161	-109.8633	51.9324	-35.6177	32.0032	0.00
0x50	 17:41:00.959	90.3320	-54.0161	-109.8633	53.6407	-34.9365	30.6244	0.00
0x50	 17:41:00.969	149.0479	-63.3545	-52.9785	55.2997	-34.2279	29.2950	0.00
0x50	 17:41:00.979	149.0479	-63.3545	-52.9785	57.4805	-34.0356	28.2349	0.00
0x50	 17:41:00.990	83.9233	-29.2358	-27.6489	59.6393	-33.8104	27.1967	0.00
0x50	 17:41:00.999	83.9233	-29.2358	-27.6489	60.9192	-33.6951	26.6528	0.00
0x50	 17:41:01.009	-8.3008	3.2959	-28.1372	62.1881	-33.5687	26.1200	0.00
0x50	 17:41:01.020	-8.3008	3.2959	-28.1372	62.3364	-33.2941	25.9387	0.00
0x50	 17:41:01.058	-50.1099	-13.3667	12.3901	62.4792	-33.0194	25.7629	0.00
0x50	 17:41:01.058	-50.1099	-13.3667	12.3901	62.2101	-33.0853	25.6201	0.00
0x50	 17:41:01.058	-137.3291	-2.2583	90.5151	61.9354	-33.1512	25.4828	0.00
0x50	 17:41:01.059	-137.3291	-2.2583	90.5151	60.4797	-33.8489	25.9113	0.00
0x50	 17:41:01.069	-235.9619	45.1660	133.9722	59.0131	-34.5355	26.3617	0.00
0x50	 17:41:01.079	-235.9619	45.1660	133.9722	56.7444	-35.2881	27.2516	0.00
0x50	 17:41:01.089	-188.0493	50.1099	135.1318	53.6682	-36.0736	28.6084	0.00
0x50	 17:41:01.099	-188.0493	50.1099	135.1318	50.7294	-36.7822	30.0751	0.00
0x50	 17:41:01.109	-125.8545	7.0190	194.7021	47.9279	-37.4139	31.6351	0.00
0x50	 17:41:01.119	-125.8545	7.0190	194.7021	45.4614	-38.3038	33.2391	0.00
0x50	 17:41:01.129	-278.2593	22.0947	320.4956	43.2916	-39.4684	34.9146	0.00
0x50	 17:41:01.139	-278.2593	22.0947	320.4956	39.7925	-41.0339	37.3975	0.00
0x50	 17:41:01.149	-459.2285	30.7617	320.0684	34.8212	-42.8687	40.8417	0.00
0x50	 17:41:01.159	-459.2285	30.7617	320.0684	28.4106	-44.4562	44.8022	0.00
0x50	 17:41:01.168	-384.5215	-4.4556	184.4482	20.5499	-45.6592	49.3121	0.00
0x50	 17:41:01.178	-384.5215	-4.4556	184.4482	13.5901	-46.3348	53.0255	0.00
0x50	 17:41:01.188	-224.7925	-39.0625	219.3604	7.6740	-46.6644	55.7831	0.00
0x50	 17:41:01.199	-224.7925	-39.0625	219.3604	2.3950	-46.9336	58.7494	0.00
0x50	 17:41:01.213	-148.7427	-74.0356	252.6855	-2.2412	-47.1423	61.9135	0.00
0x50	 17:41:01.258	-148.7427	-74.0356	252.6855	-6.7786	-47.4060	65.4730	0.00
0x50	 17:41:01.258	-103.7598	-63.9648	181.9458	-11.2610	-47.6917	69.4556	0.00
0x50	 17:41:01.258	-103.7598	-63.9648	181.9458	-15.1666	-47.8400	72.9657	0.00
0x50	 17:41:01.258	-69.1528	-85.2051	141.1743	-18.4900	-47.9279	75.9760	0.00
0x50	 17:41:01.258	-69.1528	-85.2051	141.1743	-21.4673	-48.0707	78.7555	0.00
0x50	 17:41:01.268	-82.0313	-59.7534	92.8345	-24.1205	-48.2959	81.3263	0.00
0x50	 17:41:01.278	-82.0313	-59.7534	92.8345	-26.5155	-48.4442	83.4576	0.00
0x50	 17:41:01.288	-64.3311	-37.9639	56.5796	-28.6359	-48.5376	85.1495	0.00
0x50	 17:41:01.298	-64.3311	-37.9639	56.5796	-30.3992	-48.5651	86.4844	0.00
0x50	 17:41:01.308	38.1470	-44.3115	56.5796	-31.8054	-48.5431	87.4622	0.00
